iAF1260_BIGG,Subsystem,name,reaction_string
GTHOXtex,S_Transport__Outer_Membrane_Porin,Glutathione (ox) transport via diffusion (extracellular to periplasm),gthox_e <-> gthox_p
GTHOr,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Glutathione oxidoreductase,gthox_c + h_c + nadph_c <-> 2.0 gthrd_c + nadp_c
GTHRDabc2pp,S_Transport__Inner_Membrane,Glutathione export via ABC system (cytoplasm to periplasm),atp_c + gthrd_c + h2o_c <-> adp_c + h_c + pi_c + gthrd_p
GTHRDabcpp,S_Transport__Inner_Membrane,Reduced glutathione via ABC system (periplasm),atp_c + h2o_c + gthrd_p <-> adp_c + gthrd_c + h_c + pi_c
GTHRDtex,S_Transport__Outer_Membrane_Porin,Glutathione transport via diffusion (extracellular to periplasm),gthrd_e <-> gthrd_p
GTHS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Glutathione synthetase,atp_c + glucys_c + gly_c <-> adp_c + gthrd_c + h_c + pi_c
GTPCI,S_Cofactor_and_Prosthetic_Group_Biosynthesis,GTP cyclohydrolase I,gtp_c + h2o_c <-> ahdt_c + for_c + h_c
GTPCII2,S_Cofactor_and_Prosthetic_Group_Biosynthesis,GTP cyclohydrolase II (25drapp),gtp_c + 3.0 h2o_c <-> 25drapp_c + for_c + 2.0 h_c + ppi_c
GTPDPK,S_Cofactor_and_Prosthetic_Group_Biosynthesis,GTP diphosphokinase,atp_c + gtp_c <-> amp_c + gdptp_c + h_c
GTPHs,S_Nucleotide_Salvage_Pathway,GTP amine hydrolysis (spontaneous),gtp_c + h_c + h2o_c <-> nh4_c + xtp_c
GTPtex,S_Transport__Outer_Membrane_Porin,GTP transport via diffusion (extracellular to periplasm),gtp_e <-> gtp_p
GUAPRT,S_Nucleotide_Salvage_Pathway,Guanine phosphoribosyltransferase,gua_c + prpp_c <-> gmp_c + ppi_c
GUAtex,S_Transport__Outer_Membrane,Guanine transport via diffusion (extracellular to periplasm),gua_e <-> gua_p
GUAtpp,S_Transport__Inner_Membrane,Guanine transport via diffusion (periplasm),gua_p <-> gua_c
GUI1,S_Alternate_Carbon_Metabolism,Glucuronate isomerase (D-glucuronate),glcur_c <-> fruur_c
GUI2,S_Alternate_Carbon_Metabolism,Glucuronate isomerase (D-galacturonate),galur_c <-> tagur_c
H2O2tex,S_Transport__Outer_Membrane_Porin,Hydrogen peroxide transport via diffusion (external),h2o2_e <-> h2o2_p
H2Stex,S_Transport__Outer_Membrane_Porin,H2s transport via diffusion (extracellular to periplasm),h2s_e <-> h2s_p
H2tex,S_Transport__Outer_Membrane_Porin,Hydrogen transport via diffusion (extracellular to periplasm),h2_e <-> h2_p
H2tpp,S_Transport__Inner_Membrane,Hydrogen transport diffusion (periplasm),h2_p <-> h2_c
HBZOPT,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Hydroxybenzoate octaprenyltransferase,4hbz_c + octdp_c <-> 3ophb_c + ppi_c
HCINNMt2rpp,S_Transport__Inner_Membrane,"3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)",3hcinnm_p + h_p <-> 3hcinnm_c + h_c
HCYSMT,S_Methionine_Metabolism,Homocysteine S-methyltransferase,amet_c + hcys__L_c <-> ahcys_c + h_c + met__L_c
HCYSMT2,S_Methionine_Metabolism,Homocysteine Methyltransferase,hcys__L_c + mmet_c <-> h_c + 2.0 met__L_c
HDCEAtexi,S_Transport__Outer_Membrane,Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm),hdcea_e <-> hdcea_p
HEMEOS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Heme O synthase,frdp_c + h2o_c + pheme_c <-> hemeO_c + ppi_c
HEPT2,S_Lipopolysaccharide_Biosynthesis__Recycling,Heptosyltransferase II (LPS core synthesis),adphep_LD_c + hlipa_c <-> adp_c + h_c + hhlipa_c
HEX4,S_Alternate_Carbon_Metabolism,Hexokinase (D-mannose:ATP),atp_c + man_c <-> adp_c + h_c + man6p_c
HG2abcpp,S_Inorganic_Ion_Transport_and_Metabolism,Mercury (Hg+2) ABC transporter (periplasm),atp_c + h2o_c + hg2_c <-> adp_c + h_c + pi_c + hg2_p
HG2t3pp,S_Inorganic_Ion_Transport_and_Metabolism,Mercury (Hg+2) transport out via proton antiport (periplasm),hg2_c + h_p <-> h_c + hg2_p
HISTD,S_Histidine_Metabolism,Histidinol dehydrogenase,h2o_c + histd_c + 2.0 nad_c <-> 3.0 h_c + his__L_c + 2.0 nadh_c
HISabcpp,S_Transport__Inner_Membrane,L-histidine transport via ABC system (periplasm),atp_c + h2o_c + his__L_p <-> adp_c + h_c + his__L_c + pi_c
HISt2rpp,S_Transport__Inner_Membrane,L-histidine reversible transport via proton symport (periplasm),h_p + his__L_p <-> h_c + his__L_c
HIStex,S_Transport__Outer_Membrane_Porin,L-histidine transport via diffusion (extracellular to periplasm),his__L_e <-> his__L_p
HMBS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Hydroxymethylbilane synthase,h2o_c + 4.0 ppbng_c <-> hmbil_c + 4.0 nh4_c
HOPNTAL,S_Alternate_Carbon_Metabolism,4-hydroxy-2-oxopentanoate aldolase,4h2opntn_c <-> acald_c + pyr_c
HPPPNDO,S_Alternate_Carbon_Metabolism,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",dhpppn_c + o2_c <-> h_c + hkndd_c
HPPPNt2rpp,S_Transport__Inner_Membrane,"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)",3hpppn_p + h_p <-> 3hpppn_c + h_c
HPYRRx,S_Alternate_Carbon_Metabolism,Hydroxypyruvate reductase (NADH),h_c + hpyr_c + nadh_c <-> glyc__R_c + nad_c
HSK,S_Threonine_and_Lysine_Metabolism,Homoserine kinase,atp_c + hom__L_c <-> adp_c + h_c + phom_c
HSST,S_Methionine_Metabolism,Homoserine O-succinyltransferase,hom__L_c + succoa_c <-> coa_c + suchms_c
HSTPT,S_Histidine_Metabolism,Histidinol-phosphate transaminase,glu__L_c + imacp_c <-> akg_c + hisp_c
HYD3pp,S_Oxidative_Phosphorylation,Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm),2dmmq8_c + 2.0 h_c + h2_c <-> 2dmmql8_c + 2.0 h_p
HYPOE,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Hypothetical enyme,h2o_c + pyam5p_c <-> pi_c + pydam_c
HYXNtex,S_Transport__Outer_Membrane_Porin,Hypoxanthine transport via diffusion (extracellular to periplasm),hxan_e <-> hxan_p
Htex,S_Transport__Outer_Membrane_Porin,Proton transport via diffusion (extracellular to periplasm),h_e <-> h_p
IDOND,S_Alternate_Carbon_Metabolism,L-idonate 5-dehydrogenase,5dglcn_c + h_c + nadh_c <-> idon__L_c + nad_c
IDOND2,S_Alternate_Carbon_Metabolism,L-indonate 5-dehydrogenase (NADP),5dglcn_c + h_c + nadph_c <-> idon__L_c + nadp_c
IG3PS,S_Histidine_Metabolism,Imidazole-glycerol-3-phosphate synthase,gln__L_c + prlp_c <-> aicar_c + eig3p_c + glu__L_c + h_c
IGPDH,S_Histidine_Metabolism,Imidazoleglycerol-phosphate dehydratase,eig3p_c <-> h2o_c + imacp_c
IGPS,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c <-> 3ig3p_c + co2_c + h2o_c
ILETA,S_Valine__Leucine__and_Isoleucine_Metabolism,Isoleucine transaminase,akg_c + ile__L_c <-> 3mop_c + glu__L_c
ILEtex,S_Transport__Outer_Membrane_Porin,L-isoleucine transport via diffusion (extracellular to periplasm),ile__L_e <-> ile__L_p
IMPD,S_Purine_and_Pyrimidine_Biosynthesis,IMP dehydrogenase,h2o_c + imp_c + nad_c <-> h_c + nadh_c + xmp_c
IMPtex,S_Transport__Outer_Membrane_Porin,IMP transport via diffusion (extracellular to periplasm),imp_e <-> imp_p
INDOLEt2pp,S_Transport__Inner_Membrane,"Indole transport via proton symport, irreversible (periplasm)",h_c + indole_c <-> h_p + indole_p
INSK,S_Nucleotide_Salvage_Pathway,Insosine kinase,atp_c + ins_c <-> adp_c + h_c + imp_c
INStex,S_Transport__Outer_Membrane,Inosine transport via diffusion (extracellular to periplasm),ins_e <-> ins_p
IPDPS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),h_c + h2mb4p_c + nadh_c <-> h2o_c + ipdp_c + nad_c
IPMD,S_Valine__Leucine__and_Isoleucine_Metabolism,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c <-> 3c4mop_c + h_c + nadh_c
IPPMIa,S_Valine__Leucine__and_Isoleucine_Metabolism,3-isopropylmalate dehydratase,3c2hmp_c <-> 2ippm_c + h2o_c
IPPMIb,S_Valine__Leucine__and_Isoleucine_Metabolism,2-isopropylmalate hydratase,2ippm_c + h2o_c <-> 3c3hmp_c
IPPS,S_Valine__Leucine__and_Isoleucine_Metabolism,2-isopropylmalate synthase,3mob_c + accoa_c + h2o_c <-> 3c3hmp_c + coa_c + h_c
ISETACtex,S_Transport__Outer_Membrane_Porin,Isethionate transport via diffusion (extracellular to periplasm),isetac_e <-> isetac_p
KARA2,S_Valine__Leucine__and_Isoleucine_Metabolism,Ketol-acid reductoisomerase (2-Acetolactate),2ahbut_c + h_c + nadph_c <-> 23dhmp_c + nadp_c
KDOPP,S_Lipopolysaccharide_Biosynthesis__Recycling,3-deoxy-manno-octulosonate-8-phosphatase,h2o_c + kdo8p_c <-> kdo_c + pi_c
Kabcpp,S_Inorganic_Ion_Transport_and_Metabolism,Potassium ABC transporter (periplasm),atp_c + h2o_c + k_p <-> adp_c + h_c + k_c + pi_c
Kt2pp,S_Inorganic_Ion_Transport_and_Metabolism,Potassium transport in via proton symport (periplasm),h_p + k_p <-> h_c + k_c
Kt3pp,S_Inorganic_Ion_Transport_and_Metabolism,Potassium transport out via proton antiport (periplasm),k_c + h_p <-> h_c + k_p
Ktex,S_Transport__Outer_Membrane_Porin,Potassium transport via diffusion (extracellular to periplasm),k_e <-> k_p
L_LACD3,S_Oxidative_Phosphorylation,L-Lactate dehydrogenase (menaquinone),lac__L_c + mqn8_c <-> mql8_c + pyr_c
LACZ,S_Alternate_Carbon_Metabolism,B-galactosidase,h2o_c + lcts_c <-> gal_c + glc__D_c
LALGP,S_Murein_Recycling,L-alanyl-gamma-L-glutamate peptidase,LalaLglu_c + h2o_c <-> ala__L_c + glu__L_c
LCADi,S_Alternate_Carbon_Metabolism,Lactaldehyde dehydrogenase,h2o_c + lald__L_c + nad_c <-> 2.0 h_c + lac__L_c + nadh_c
LCTSt3ipp,S_Transport__Inner_Membrane,Lactose transport via proton aniport (periplasm),lcts_c + h_p <-> h_c + lcts_p
LCTStex,S_Transport__Outer_Membrane_Porin,Lactose transport via diffusion (extracellular to periplasm),lcts_e <-> lcts_p
LCTStpp,S_Transport__Inner_Membrane,Lactose transport via proton symport (periplasm),h_p + lcts_p <-> h_c + lcts_c
LDH_D2,S_Oxidative_Phosphorylation,D-lactate dehydrogenase,lac__D_c + q8_c <-> pyr_c + q8h2_c
LEUTAi,S_Valine__Leucine__and_Isoleucine_Metabolism,Leucine transaminase (irreversible),4mop_c + glu__L_c <-> akg_c + leu__L_c
LEUTRS,S_tRNA_Charging,Leucyl-tRNA synthetase,atp_c + leu__L_c + trnaleu_c <-> amp_c + leutrna_c + ppi_c
LEUt2rpp,S_Transport__Inner_Membrane,L-leucine reversible transport via proton symport (periplasm),h_p + leu__L_p <-> h_c + leu__L_c
LGTHL,S_Methylglyoxal_Metabolism,Lactoylglutathione lyase,gthrd_c + mthgxl_c <-> lgt__S_c
LIPACabcpp,S_Lipopolysaccharide_Biosynthesis__Recycling,Lipid (cold) A transport via ABC system (periplasm),atp_c + h2o_c + lipa_cold_c <-> adp_c + h_c + pi_c + lipa_cold_p
LIPAabcpp,S_Lipopolysaccharide_Biosynthesis__Recycling,Lipid A transport via ABC system (periplasm),atp_c + h2o_c + lipa_c <-> adp_c + h_c + pi_c + lipa_p
LPLIPAL1A140pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)",1tdecg3p_p + h2o_p <-> glyc3p_p + h_p + ttdca_p
LPLIPAL1A141pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)",1tdec7eg3p_p + h2o_p <-> glyc3p_p + h_p + ttdcea_p
LPLIPAL1A161pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",1hdec9eg3p_p + h2o_p <-> glyc3p_p + h_p + hdcea_p
LPLIPAL1A181pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)",1odec11eg3p_p + h2o_p <-> glyc3p_p + h_p + ocdcea_p
LPLIPAL1E140pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)",1agpe140_p + h2o_p <-> g3pe_p + h_p + ttdca_p
LPLIPAL1E141pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)",1agpe141_p + h2o_p <-> g3pe_p + h_p + ttdcea_p
LPLIPAL1E180pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)",1agpe180_p + h2o_p <-> g3pe_p + h_p + ocdca_p
LPLIPAL1E181pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)",1agpe181_p + h2o_p <-> g3pe_p + h_p + ocdcea_p
LPLIPAL1G141pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)",1agpg141_p + h2o_p <-> g3pg_p + h_p + ttdcea_p
LPLIPAL1G161pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)",1agpg161_p + h2o_p <-> g3pg_p + h_p + hdcea_p
LPLIPAL1G180pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)",1agpg180_p + h2o_p <-> g3pg_p + h_p + ocdca_p
LPLIPAL1G181pp,S_Glycerophospholipid_Metabolism,"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:1) (periplasm)",1agpg181_p + h2o_p <-> g3pg_p + h_p + ocdcea_p
LPLIPAL2A120,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)",2ddecg3p_c + h2o_c <-> ddca_c + glyc3p_c + 2.0 h_c
LPLIPAL2ATE120,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)",2agpe120_c + pg120_c <-> apg120_c + g3pe_c
LPLIPAL2ATE161,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:1)",2agpe161_c + pg161_c <-> apg161_c + g3pe_c
LPLIPAL2ATG141,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:1)",2agpg141_c + pg141_c <-> apg141_c + g3pg_c
LPLIPAL2ATG160,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:0)",2agpg160_c + pg160_c <-> apg160_c + g3pg_c
LPLIPAL2ATG161,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:1)",2agpg161_c + pg161_c <-> apg161_c + g3pg_c
LPLIPAL2E120,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",2agpe120_c + h2o_c <-> ddca_c + g3pe_c + h_c
LPLIPAL2E141,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",2agpe141_c + h2o_c <-> g3pe_c + h_c + ttdcea_c
LPLIPAL2E160,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",2agpe160_c + h2o_c <-> g3pe_c + h_c + hdca_c
LPLIPAL2E161,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",2agpe161_c + h2o_c <-> g3pe_c + h_c + hdcea_c
LPLIPAL2E180,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",2agpe180_c + h2o_c <-> g3pe_c + h_c + ocdca_c
LPLIPAL2G140,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",2agpg140_c + h2o_c <-> g3pg_c + h_c + ttdca_c
LPLIPAL2G141,S_Glycerophospholipid_Metabolism,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",2agpg141_c + h2o_c <-> g3pg_c + h_c + ttdcea_c
LYSTRS,S_tRNA_Charging,Lysyl-tRNA synthetase,atp_c + lys__L_c + trnalys_c <-> amp_c + lystrna_c + ppi_c
LYSabcpp,S_Transport__Inner_Membrane,L-lysine transport via ABC system (periplasm),atp_c + h2o_c + lys__L_p <-> adp_c + h_c + lys__L_c + pi_c
LYStex,S_Transport__Outer_Membrane_Porin,L-lysine transport via diffusion (extracellular to periplasm),lys__L_e <-> lys__L_p
LYXt2pp,S_Transport__Inner_Membrane,L-Lyxose transport via proton symport (periplasm),h_p + lyx__L_p <-> h_c + lyx__L_c
MACPD,S_Membrane_Lipid_Metabolism,Malonyl-ACP decarboxylase,h_c + malACP_c <-> acACP_c + co2_c
MALS,S_Anaplerotic_Reactions,Malate synthase,accoa_c + glx_c + h2o_c <-> coa_c + h_c + mal__L_c
MALTHXtexi,S_Transport__Outer_Membrane,Maltohexaose transport via diffusion (extracellular to periplasm) irreversible,malthx_e <-> malthx_p
MALTPTtexi,S_Transport__Outer_Membrane,MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,maltpt_e <-> maltpt_p
MALTTRtexi,S_Transport__Outer_Membrane,Maltotriose transport via diffusion (extracellular to periplasm) irreversible,malttr_e <-> malttr_p
MALTTTRabcpp,S_Transport__Inner_Membrane,Maltotetraose transport via ABC system (periplasm),atp_c + h2o_c + maltttr_p <-> adp_c + h_c + maltttr_c + pi_c
MALTabcpp,S_Transport__Inner_Membrane,Maltose transport via ABC system (periplasm),atp_c + h2o_c + malt_p <-> adp_c + h_c + malt_c + pi_c
MALt2_3pp,S_Transport__Inner_Membrane,Malate transport via proton symport (3 H) (periplasm),3.0 h_p + mal__L_p <-> 3.0 h_c + mal__L_c
MALtex,S_Transport__Outer_Membrane_Porin,Malate transport via diffusion (extracellular to periplasm),mal__L_e <-> mal__L_p
MAN1PT2,S_Cell_Envelope_Biosynthesis,Mannose-1-phosphate guanylyltransferase (GDP),gdp_c + h_c + man1p_c <-> gdpmann_c + pi_c
MAN6Pt6_2pp,S_Transport__Inner_Membrane,Mannose-6-phosphate transport via phosphate antiport (periplasm),2.0 pi_c + man6p_p <-> man6p_c + 2.0 pi_p
MAN6Ptex,S_Transport__Outer_Membrane_Porin,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),man6p_e <-> man6p_p
MANPGH,S_Alternate_Carbon_Metabolism,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,h2o_c + man6pglyc_c <-> glyc__R_c + man6p_c
MDDCP1pp,S_Murein_Biosynthesis,"Murein D,D-carboxypeptidase (murein5px4p) (periplasm)",h2o_p + murein5px4p_p <-> ala__D_p + murein4px4p_p
MDDCP2pp,S_Murein_Biosynthesis,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",h2o_p + murein5px4px4p_p <-> ala__D_p + murein4px4px4p_p
MDDCP4pp,S_Murein_Biosynthesis,"Murein D,D-carboxypeptidase (murein5p4p) (periplasm)",h2o_p + murein5p4p_p <-> ala__D_p + murein4p4p_p
MDDCP5pp,S_Murein_Biosynthesis,"Murein D,D-carboxypeptidase (murein5p3p) (periplasm)",h2o_p + murein5p3p_p <-> ala__D_p + murein4p3p_p
MDDEP1pp,S_Murein_Recycling,"Murein D,D-endopeptidase (murein4px4p) (periplasm)",h2o_p + murein4px4p_p <-> murein4p4p_p
MDH2,S_Citric_Acid_Cycle,Malate dehydrogenase (ubiquinone 8 as acceptor),mal__L_c + q8_c <-> oaa_c + q8h2_c
MDH3,S_Citric_Acid_Cycle,Malate dehydrogenase (menaquinone 8 as acceptor),mal__L_c + mqn8_c <-> mql8_c + oaa_c
ME1,S_Anaplerotic_Reactions,Malic enzyme (NAD),mal__L_c + nad_c <-> co2_c + nadh_c + pyr_c
MECDPS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c <-> 2mecdp_c + cmp_c
MELIBt3ipp,S_Transport__Inner_Membrane,Melibiose transport in via antiport (periplasm),melib_c + h_p <-> h_c + melib_p
MEPCT,S_Cofactor_and_Prosthetic_Group_Biosynthesis,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c + h_c <-> 4c2me_c + ppi_c
METAT,S_Methionine_Metabolism,Methionine adenosyltransferase,atp_c + h2o_c + met__L_c <-> amet_c + pi_c + ppi_c
METDabcpp,S_Transport__Inner_Membrane,D-methionine transport via ABC system (periplasm),atp_c + h2o_c + met__D_p <-> adp_c + h_c + met__D_c + pi_c
METDtex,S_Transport__Outer_Membrane_Porin,D-methionine transport via diffusion (extracellular to periplasm),met__D_e <-> met__D_p
METSOX1tex,S_Transport__Outer_Membrane_Porin,L-methionine S-oxide diffusion (extracellular),metsox_S__L_e <-> metsox_S__L_p
METTRS,S_tRNA_Charging,Methionyl-tRNA synthetase,atp_c + met__L_c + trnamet_c <-> amp_c + mettrna_c + ppi_c
METabcpp,S_Transport__Inner_Membrane,L-methionine transport via ABC system (periplasm),atp_c + h2o_c + met__L_p <-> adp_c + h_c + met__L_c + pi_c
MG2tex,S_Transport__Outer_Membrane_Porin,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),mg2_e <-> mg2_p
MG2tpp,S_Inorganic_Ion_Transport_and_Metabolism,Magnesium (+2) transport in via diffusion,mg2_p <-> mg2_c
MG2uabcpp,S_Inorganic_Ion_Transport_and_Metabolism,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)",atp_c + h2o_c + mg2_p <-> adp_c + h_c + mg2_c + pi_c
MGSA,S_Methylglyoxal_Metabolism,Methylglyoxal synthase,dhap_c <-> mthgxl_c + pi_c
MINOHPtexi,S_Transport__Outer_Membrane,Myo-inositol phosphate transport via diffusion (extracellular to periplasm),minohp_e <-> minohp_p
MLDCP1Bpp,S_Murein_Biosynthesis,"Murein L,D-carboxypeptidase (murein4p4p) (periplasm)",h2o_p + murein4p4p_p <-> ala__D_p + murein4p3p_p
MLDCP3App,S_Murein_Biosynthesis,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",h2o_p + murein5px3p_p <-> alaala_p + murein3px3p_p
MLDEP1pp,S_Murein_Recycling,"Murein L,D-endopeptidase (murein3px3p) (periplasm)",h2o_p + murein3px3p_p <-> murein3p3p_p
MLDEP2pp,S_Murein_Recycling,"Murein L,D-endopeptidase (murein5px3p) (periplasm)",h2o_p + murein5px3p_p <-> murein5p3p_p
MLTG1,S_Alternate_Carbon_Metabolism,Maltodextrin glucosidase (maltotriose),h2o_c + malttr_c <-> glc__D_c + malt_c
MLTG2,S_Alternate_Carbon_Metabolism,Maltodextrin glucosidase (maltotetraose),h2o_c + maltttr_c <-> glc__D_c + malttr_c
MLTG5,S_Alternate_Carbon_Metabolism,Maltodextrin glucosidase (maltoheptaose),h2o_c + malthp_c <-> glc__D_c + malthx_c
MLTGY3pp,S_Murein_Recycling,Murein lytic transglycosylase (murein3p3p) (periplasm),murein3p3p_p <-> 2.0 anhgm3p_p
MLTP1,S_Alternate_Carbon_Metabolism,Maltodextrin phosphorylase (maltopentaose),maltpt_c + pi_c <-> g1p_c + maltttr_c
MMCD,S_Alternate_Carbon_Metabolism,Methylmalonyl-CoA decarboxylase,h_c + mmcoa__S_c <-> co2_c + ppcoa_c
MMETtex,S_Transport__Outer_Membrane_Porin,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),mmet_e <-> mmet_p
MN2t3pp,S_Inorganic_Ion_Transport_and_Metabolism,Manganese (Mn+2) transport out via proton antiport (periplasm),mn2_c + h_p <-> h_c + mn2_p
MN2tpp,S_Inorganic_Ion_Transport_and_Metabolism,Manganese transport in via permease (no H+),mn2_p <-> mn2_c
MNLptspp,S_Transport__Inner_Membrane,Mannitol transport via PEP:Pyr PTS (periplasm),pep_c + mnl_p <-> mnl1p_c + pyr_c
MNLtex,S_Transport__Outer_Membrane_Porin,Mannitol transport via diffusion (extracellular to periplasm),mnl_e <-> mnl_p
MNt2pp,S_Transport__Inner_Membrane,Manganese (Mn+2) transport in via proton symport (periplasm),h_p + mn2_p <-> h_c + mn2_c
MNtex,S_Transport__Outer_Membrane_Porin,Manganese (Mn+2) transport via diffusion (extracellular to periplasm),mn2_e <-> mn2_p
MOAT,S_Lipopolysaccharide_Biosynthesis__Recycling,3-deoxy-D-manno-octulosonic acid transferase,ckdo_c + lipidA_c <-> cmp_c + h_c + kdolipid4_c
MOAT3C,S_Lipopolysaccharide_Biosynthesis__Recycling,3-deoxy-D-manno-octulosonic acid transferase III (LPS core biosynthesis),ckdo_c + phphhlipa_c <-> cmp_c + h_c + kphphhlipa_c
MOBDtex,S_Transport__Outer_Membrane_Porin,Molybdate transport via diffusion (extracellular to periplasm),mobd_e <-> mobd_p
MOHMT,S_Cofactor_and_Prosthetic_Group_Biosynthesis,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob_c + h2o_c + mlthf_c <-> 2dhp_c + thf_c
MPTG,S_Murein_Biosynthesis,Murein polymerizing transglycosylase,2.0 uaagmda_c <-> 2.0 h_c + 2.0 udcpdp_c + murein5p5p_p
MPTG2,S_Murein_Biosynthesis,Murein polymerizing transglycosylase 2 (three linked units),uaagmda_c + murein5p5p_p <-> h_c + udcpdp_c + murein5p5p5p_p
MSO3abcpp,S_Transport__Inner_Membrane,Methanesulfonate transport via ABC system (periplasm),atp_c + h2o_c + mso3_p <-> adp_c + h_c + mso3_c + pi_c
MTAN,S_Arginine_and_Proline_Metabolism,Methylthioadenosine nucleosidase,5mta_c + h2o_c <-> 5mtr_c + ade_c
MTHFR2,S_Folate_Metabolism,"5,10-methylenetetrahydrofolate reductase (NADH)",2.0 h_c + mlthf_c + nadh_c <-> 5mthf_c + nad_c
N2Otpp,S_Inorganic_Ion_Transport_and_Metabolism,Nitrious oxide transport (diffusion),n2o_p <-> n2o_c
NACODA,S_Arginine_and_Proline_Metabolism,N-acetylornithine deacetylase,acg5sa_c + h2o_c <-> ac_c + glu5sa_c
NACtex,S_Transport__Outer_Membrane_Porin,Nicotinic acid transport via diffusion (extracellular to periplasm),nac_e <-> nac_p
NADH16pp,S_Oxidative_Phosphorylation,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),4.0 h_c + nadh_c + q8_c <-> nad_c + q8h2_c + 3.0 h_p
